,ts,scores,mean_scores,game_hash,starting_timestamp,negative_reward,positive_reward,seed,how_many_seeds,how_many_games,speed
0,1704552951.872224,1,1.0,83aaf00a6360a2dc67f057f17ecee1a271fae89a94922ceca3a6cf6fce5fb83145fd71ebf94bf3805b66b45600a51a8aea4308b80258e04c82633ccb05382b42,1704553118.223406,-10,27,100,100,1,500
1,1704552954.299249,1,1.0,83aaf00a6360a2dc67f057f17ecee1a271fae89a94922ceca3a6cf6fce5fb83145fd71ebf94bf3805b66b45600a51a8aea4308b80258e04c82633ccb05382b42,1704553118.223406,-10,27,100,100,1,500
2,1704552956.695821,3,1.6666666666666667,83aaf00a6360a2dc67f057f17ecee1a271fae89a94922ceca3a6cf6fce5fb83145fd71ebf94bf3805b66b45600a51a8aea4308b80258e04c82633ccb05382b42,1704553118.223406,-10,27,100,100,1,500
3,1704552959.006033,6,2.75,83aaf00a6360a2dc67f057f17ecee1a271fae89a94922ceca3a6cf6fce5fb83145fd71ebf94bf3805b66b45600a51a8aea4308b80258e04c82633ccb05382b42,1704553118.223406,-10,27,100,100,1,500
4,1704552959.742521,6,3.4,83aaf00a6360a2dc67f057f17ecee1a271fae89a94922ceca3a6cf6fce5fb83145fd71ebf94bf3805b66b45600a51a8aea4308b80258e04c82633ccb05382b42,1704553118.223406,-10,27,100,100,1,500
5,1704552960.63787,5,3.6666666666666665,83aaf00a6360a2dc67f057f17ecee1a271fae89a94922ceca3a6cf6fce5fb83145fd71ebf94bf3805b66b45600a51a8aea4308b80258e04c82633ccb05382b42,1704553118.223406,-10,27,100,100,1,500
6,1704552963.006397,2,3.4285714285714284,83aaf00a6360a2dc67f057f17ecee1a271fae89a94922ceca3a6cf6fce5fb83145fd71ebf94bf3805b66b45600a51a8aea4308b80258e04c82633ccb05382b42,1704553118.223406,-10,27,100,100,1,500
7,1704552965.4073,3,3.375,83aaf00a6360a2dc67f057f17ecee1a271fae89a94922ceca3a6cf6fce5fb83145fd71ebf94bf3805b66b45600a51a8aea4308b80258e04c82633ccb05382b42,1704553118.223406,-10,27,100,100,1,500
8,1704552966.013618,3,3.3333333333333335,83aaf00a6360a2dc67f057f17ecee1a271fae89a94922ceca3a6cf6fce5fb83145fd71ebf94bf3805b66b45600a51a8aea4308b80258e04c82633ccb05382b42,1704553118.223406,-10,27,100,100,1,500
9,1704552966.472092,3,3.3,83aaf00a6360a2dc67f057f17ecee1a271fae89a94922ceca3a6cf6fce5fb83145fd71ebf94bf3805b66b45600a51a8aea4308b80258e04c82633ccb05382b42,1704553118.223406,-10,27,100,100,1,500
10,1704552967.239536,5,3.4545454545454546,83aaf00a6360a2dc67f057f17ecee1a271fae89a94922ceca3a6cf6fce5fb83145fd71ebf94bf3805b66b45600a51a8aea4308b80258e04c82633ccb05382b42,1704553118.223406,-10,27,100,100,1,500
