,ts,scores,mean_scores,game_hash,starting_timestamp,negative_reward,positive_reward,seed,how_many_seeds,how_many_games,speed
0,1704553158.286553,0,0.0,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
1,1704553160.720432,0,0.0,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
2,1704553163.089874,0,0.0,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
3,1704553165.432697,0,0.0,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
4,1704553167.794509,1,0.2,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
5,1704553169.057878,7,1.3333333333333333,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
6,1704553171.445808,0,1.1428571428571428,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
7,1704553173.758014,0,1.0,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
8,1704553176.079362,0,0.8888888888888888,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
9,1704553178.36508,2,1.0,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
10,1704553180.706193,0,0.9090909090909091,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
11,1704553183.058475,0,0.8333333333333334,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
12,1704553185.442251,0,0.7692307692307693,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
13,1704553187.715811,0,0.7142857142857143,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
14,1704553190.064236,0,0.6666666666666666,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
15,1704553192.428472,0,0.625,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
16,1704553194.709961,0,0.5882352941176471,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
17,1704553197.137656,0,0.5555555555555556,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
18,1704553199.474609,0,0.5263157894736842,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
19,1704553201.809422,0,0.5,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
20,1704553202.133609,0,0.47619047619047616,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
21,1704553204.539371,0,0.45454545454545453,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
22,1704553206.883273,0,0.43478260869565216,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
23,1704553209.292066,0,0.4166666666666667,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
24,1704553211.722165,1,0.44,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
25,1704553214.097191,0,0.4230769230769231,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
26,1704553216.455343,0,0.4074074074074074,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
27,1704553218.791023,0,0.39285714285714285,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
28,1704553221.146926,0,0.3793103448275862,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
29,1704553223.436963,3,0.4666666666666667,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
30,1704553225.754853,0,0.45161290322580644,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
31,1704553228.023115,0,0.4375,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
32,1704553230.340931,0,0.42424242424242425,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
33,1704553232.666407,4,0.5294117647058824,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
34,1704553234.994272,0,0.5142857142857142,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
35,1704553237.366513,0,0.5,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
36,1704553239.707226,0,0.4864864864864865,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
37,1704553242.039891,0,0.47368421052631576,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
38,1704553244.362454,0,0.46153846153846156,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
39,1704553246.793908,0,0.45,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
40,1704553247.52437,3,0.5121951219512195,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
41,1704553249.822903,0,0.5,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
42,1704553252.150333,0,0.4883720930232558,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
43,1704553254.539945,0,0.4772727272727273,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
44,1704553256.914069,0,0.4666666666666667,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
45,1704553259.30335,0,0.45652173913043476,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
46,1704553261.637284,0,0.44680851063829785,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
47,1704553263.992895,0,0.4375,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
48,1704553264.523782,2,0.46938775510204084,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
49,1704553266.851688,0,0.46,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
50,1704553269.179432,0,0.45098039215686275,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
51,1704553271.485408,0,0.4423076923076923,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
52,1704553273.832191,0,0.4339622641509434,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
53,1704553276.17308,1,0.4444444444444444,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
54,1704553278.56085,0,0.43636363636363634,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
55,1704553280.868364,0,0.42857142857142855,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
56,1704553283.197432,0,0.42105263157894735,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
57,1704553285.562164,0,0.41379310344827586,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
58,1704553288.039946,0,0.4067796610169492,d11014b420aba08824e0a3d0496efdf9f9a34d4af6710a23006814951611f778e69cdf2e3b3c00a85c57eaeb8821d42b38382e6f197d3000907252009379bba0,1704553376.411343,-10,27,100,100,1,500
