,ts,scores,mean_scores,game_hash,starting_timestamp,negative_reward,positive_reward,seed,how_many_seeds,how_many_games,speed
0,1704619044.115745,15,15.0,ac0cdd13e4dda6d49f0842d6acfd9a03ab20dd466c528e10f1986654eb40b12c7a5d4ebced37ff0cdfcbf194cfaf04f063cf4437db44ac79276704fb45ef3961,1704619181.414406,-10,27,5099,100,1,1000
1,1704619044.846168,23,19.0,ac0cdd13e4dda6d49f0842d6acfd9a03ab20dd466c528e10f1986654eb40b12c7a5d4ebced37ff0cdfcbf194cfaf04f063cf4437db44ac79276704fb45ef3961,1704619181.414406,-10,27,5099,100,1,1000
2,1704619046.205748,21,19.666666666666668,ac0cdd13e4dda6d49f0842d6acfd9a03ab20dd466c528e10f1986654eb40b12c7a5d4ebced37ff0cdfcbf194cfaf04f063cf4437db44ac79276704fb45ef3961,1704619181.414406,-10,27,5099,100,1,1000
3,1704619046.658552,9,17.0,ac0cdd13e4dda6d49f0842d6acfd9a03ab20dd466c528e10f1986654eb40b12c7a5d4ebced37ff0cdfcbf194cfaf04f063cf4437db44ac79276704fb45ef3961,1704619181.414406,-10,27,5099,100,1,1000
4,1704619048.162149,11,15.8,ac0cdd13e4dda6d49f0842d6acfd9a03ab20dd466c528e10f1986654eb40b12c7a5d4ebced37ff0cdfcbf194cfaf04f063cf4437db44ac79276704fb45ef3961,1704619181.414406,-10,27,5099,100,1,1000
5,1704619049.196683,33,18.666666666666668,ac0cdd13e4dda6d49f0842d6acfd9a03ab20dd466c528e10f1986654eb40b12c7a5d4ebced37ff0cdfcbf194cfaf04f063cf4437db44ac79276704fb45ef3961,1704619181.414406,-10,27,5099,100,1,1000
6,1704619049.821006,19,18.714285714285715,ac0cdd13e4dda6d49f0842d6acfd9a03ab20dd466c528e10f1986654eb40b12c7a5d4ebced37ff0cdfcbf194cfaf04f063cf4437db44ac79276704fb45ef3961,1704619181.414406,-10,27,5099,100,1,1000
7,1704619051.321775,41,21.5,ac0cdd13e4dda6d49f0842d6acfd9a03ab20dd466c528e10f1986654eb40b12c7a5d4ebced37ff0cdfcbf194cfaf04f063cf4437db44ac79276704fb45ef3961,1704619181.414406,-10,27,5099,100,1,1000
8,1704619052.739288,1,19.22222222222222,ac0cdd13e4dda6d49f0842d6acfd9a03ab20dd466c528e10f1986654eb40b12c7a5d4ebced37ff0cdfcbf194cfaf04f063cf4437db44ac79276704fb45ef3961,1704619181.414406,-10,27,5099,100,1,1000
9,1704619054.221024,21,19.4,ac0cdd13e4dda6d49f0842d6acfd9a03ab20dd466c528e10f1986654eb40b12c7a5d4ebced37ff0cdfcbf194cfaf04f063cf4437db44ac79276704fb45ef3961,1704619181.414406,-10,27,5099,100,1,1000
10,1704619054.912816,18,19.272727272727273,ac0cdd13e4dda6d49f0842d6acfd9a03ab20dd466c528e10f1986654eb40b12c7a5d4ebced37ff0cdfcbf194cfaf04f063cf4437db44ac79276704fb45ef3961,1704619181.414406,-10,27,5099,100,1,1000
11,1704619056.354215,0,17.666666666666668,ac0cdd13e4dda6d49f0842d6acfd9a03ab20dd466c528e10f1986654eb40b12c7a5d4ebced37ff0cdfcbf194cfaf04f063cf4437db44ac79276704fb45ef3961,1704619181.414406,-10,27,5099,100,1,1000
12,1704619057.008715,17,17.615384615384617,ac0cdd13e4dda6d49f0842d6acfd9a03ab20dd466c528e10f1986654eb40b12c7a5d4ebced37ff0cdfcbf194cfaf04f063cf4437db44ac79276704fb45ef3961,1704619181.414406,-10,27,5099,100,1,1000
