,ts,scores,mean_scores,game_hash,starting_timestamp,negative_reward,positive_reward,seed,how_many_seeds,how_many_games,speed
0,1704618886.584851,21,21.0,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
1,1704618887.240683,14,17.5,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
2,1704618888.655132,22,19.0,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
3,1704618889.263022,17,18.5,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
4,1704618890.446351,44,23.6,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
5,1704618891.488729,36,25.666666666666668,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
6,1704618892.374712,30,26.285714285714285,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
7,1704618892.847783,12,24.5,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
8,1704618894.05311,37,25.88888888888889,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
9,1704618894.592424,16,24.9,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
10,1704618895.632131,29,25.272727272727273,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
11,1704618896.446964,18,24.666666666666668,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
12,1704618897.821309,1,22.846153846153847,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
13,1704618898.469012,20,22.642857142857142,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
14,1704618899.770197,41,23.866666666666667,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
15,1704618901.227079,16,23.375,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
16,1704618901.909976,22,23.294117647058822,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
17,1704618902.88201,30,23.666666666666668,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
18,1704618904.319731,27,23.842105263157894,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
19,1704618905.746642,2,22.75,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
20,1704618906.850113,33,23.238095238095237,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
21,1704618907.830599,30,23.545454545454547,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
22,1704618908.777514,32,23.91304347826087,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
23,1704618910.222233,6,23.166666666666668,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
24,1704618911.056217,24,23.2,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
25,1704618911.736591,20,23.076923076923077,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
26,1704618912.627826,23,23.074074074074073,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
27,1704618913.271226,18,22.892857142857142,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
28,1704618913.984127,21,22.82758620689655,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
29,1704618914.986807,38,23.333333333333332,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
30,1704618916.347053,12,22.967741935483872,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
31,1704618917.764262,7,22.46875,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
32,1704618918.710017,33,22.78787878787879,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
33,1704618919.930462,36,23.176470588235293,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
34,1704618920.83492,33,23.457142857142856,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
35,1704618922.27289,10,23.083333333333332,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
36,1704618923.321003,33,23.35135135135135,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
37,1704618923.866083,18,23.210526315789473,a02e55fb9efc3b74cda3216a337f0c79694fe32e29528270b878f3d2afa50a0dc7fab44ff0227d4370d2559905cc652fb1efc95201237abb04993bc642ae115c,1704618998.667969,-10,27,5099,100,1,1000
