,ts,scores,mean_scores,game_hash,starting_timestamp,negative_reward,positive_reward,seed,how_many_seeds,how_many_games,speed
0,1704553723.124019,0,0.0,df6d2dff32572b6bc0dd8108242a112c71bf7643c39490953cd062195deed7c573f1a370b45815138d4ddc84677e9b2b58c57bead7ddf94951adefae0a03a0f7,1704554584.868999,-10,27,3,3,200,1000
1,1704553723.866033,0,0.0,df6d2dff32572b6bc0dd8108242a112c71bf7643c39490953cd062195deed7c573f1a370b45815138d4ddc84677e9b2b58c57bead7ddf94951adefae0a03a0f7,1704554584.868999,-10,27,3,3,200,1000
2,1704553724.796751,0,0.0,df6d2dff32572b6bc0dd8108242a112c71bf7643c39490953cd062195deed7c573f1a370b45815138d4ddc84677e9b2b58c57bead7ddf94951adefae0a03a0f7,1704554584.868999,-10,27,3,3,200,1000
3,1704553725.397325,0,0.0,df6d2dff32572b6bc0dd8108242a112c71bf7643c39490953cd062195deed7c573f1a370b45815138d4ddc84677e9b2b58c57bead7ddf94951adefae0a03a0f7,1704554584.868999,-10,27,3,3,200,1000
4,1704553726.852156,0,0.0,df6d2dff32572b6bc0dd8108242a112c71bf7643c39490953cd062195deed7c573f1a370b45815138d4ddc84677e9b2b58c57bead7ddf94951adefae0a03a0f7,1704554584.868999,-10,27,3,3,200,1000
5,1704553728.673666,1,0.16666666666666666,df6d2dff32572b6bc0dd8108242a112c71bf7643c39490953cd062195deed7c573f1a370b45815138d4ddc84677e9b2b58c57bead7ddf94951adefae0a03a0f7,1704554584.868999,-10,27,3,3,200,1000
6,1704553729.261914,0,0.14285714285714285,df6d2dff32572b6bc0dd8108242a112c71bf7643c39490953cd062195deed7c573f1a370b45815138d4ddc84677e9b2b58c57bead7ddf94951adefae0a03a0f7,1704554584.868999,-10,27,3,3,200,1000
7,1704553730.228359,0,0.125,df6d2dff32572b6bc0dd8108242a112c71bf7643c39490953cd062195deed7c573f1a370b45815138d4ddc84677e9b2b58c57bead7ddf94951adefae0a03a0f7,1704554584.868999,-10,27,3,3,200,1000
8,1704553732.035573,0,0.1111111111111111,df6d2dff32572b6bc0dd8108242a112c71bf7643c39490953cd062195deed7c573f1a370b45815138d4ddc84677e9b2b58c57bead7ddf94951adefae0a03a0f7,1704554584.868999,-10,27,3,3,200,1000
9,1704553733.572957,0,0.1,df6d2dff32572b6bc0dd8108242a112c71bf7643c39490953cd062195deed7c573f1a370b45815138d4ddc84677e9b2b58c57bead7ddf94951adefae0a03a0f7,1704554584.868999,-10,27,3,3,200,1000
10,1704553734.095795,0,0.09090909090909091,df6d2dff32572b6bc0dd8108242a112c71bf7643c39490953cd062195deed7c573f1a370b45815138d4ddc84677e9b2b58c57bead7ddf94951adefae0a03a0f7,1704554584.868999,-10,27,3,3,200,1000
11,1704553734.99416,0,0.08333333333333333,df6d2dff32572b6bc0dd8108242a112c71bf7643c39490953cd062195deed7c573f1a370b45815138d4ddc84677e9b2b58c57bead7ddf94951adefae0a03a0f7,1704554584.868999,-10,27,3,3,200,1000
12,1704553736.237228,1,0.15384615384615385,df6d2dff32572b6bc0dd8108242a112c71bf7643c39490953cd062195deed7c573f1a370b45815138d4ddc84677e9b2b58c57bead7ddf94951adefae0a03a0f7,1704554584.868999,-10,27,3,3,200,1000
13,1704553737.228931,0,0.14285714285714285,df6d2dff32572b6bc0dd8108242a112c71bf7643c39490953cd062195deed7c573f1a370b45815138d4ddc84677e9b2b58c57bead7ddf94951adefae0a03a0f7,1704554584.868999,-10,27,3,3,200,1000
14,1704553738.175366,1,0.2,df6d2dff32572b6bc0dd8108242a112c71bf7643c39490953cd062195deed7c573f1a370b45815138d4ddc84677e9b2b58c57bead7ddf94951adefae0a03a0f7,1704554584.868999,-10,27,3,3,200,1000
15,1704553739.266638,1,0.25,df6d2dff32572b6bc0dd8108242a112c71bf7643c39490953cd062195deed7c573f1a370b45815138d4ddc84677e9b2b58c57bead7ddf94951adefae0a03a0f7,1704554584.868999,-10,27,3,3,200,1000
16,1704553740.572061,0,0.23529411764705882,df6d2dff32572b6bc0dd8108242a112c71bf7643c39490953cd062195deed7c573f1a370b45815138d4ddc84677e9b2b58c57bead7ddf94951adefae0a03a0f7,1704554584.868999,-10,27,3,3,200,1000
17,1704553741.343564,1,0.2777777777777778,df6d2dff32572b6bc0dd8108242a112c71bf7643c39490953cd062195deed7c573f1a370b45815138d4ddc84677e9b2b58c57bead7ddf94951adefae0a03a0f7,1704554584.868999,-10,27,3,3,200,1000
