,ts,scores,mean_scores,game_hash,starting_timestamp,negative_reward,positive_reward,seed,how_many_seeds,how_many_games,speed
0,1704555579.079919,7,7.0,fce295dc64edc45d247596c2ad0bc9749af29219f71b7dc891eff23d0960ffba5eb077bb7dd5d838267c490e5d9ac007bdee8c920955fdd3c0d32ab5f9ab5f4a,1704555748.533412,-10,27,100,100,1,500
1,1704555579.821643,10,8.5,fce295dc64edc45d247596c2ad0bc9749af29219f71b7dc891eff23d0960ffba5eb077bb7dd5d838267c490e5d9ac007bdee8c920955fdd3c0d32ab5f9ab5f4a,1704555748.533412,-10,27,100,100,1,500
2,1704555580.577203,14,10.333333333333334,fce295dc64edc45d247596c2ad0bc9749af29219f71b7dc891eff23d0960ffba5eb077bb7dd5d838267c490e5d9ac007bdee8c920955fdd3c0d32ab5f9ab5f4a,1704555748.533412,-10,27,100,100,1,500
3,1704555581.398906,15,11.5,fce295dc64edc45d247596c2ad0bc9749af29219f71b7dc891eff23d0960ffba5eb077bb7dd5d838267c490e5d9ac007bdee8c920955fdd3c0d32ab5f9ab5f4a,1704555748.533412,-10,27,100,100,1,500
4,1704555582.424284,22,13.6,fce295dc64edc45d247596c2ad0bc9749af29219f71b7dc891eff23d0960ffba5eb077bb7dd5d838267c490e5d9ac007bdee8c920955fdd3c0d32ab5f9ab5f4a,1704555748.533412,-10,27,100,100,1,500
5,1704555584.737851,41,18.166666666666668,fce295dc64edc45d247596c2ad0bc9749af29219f71b7dc891eff23d0960ffba5eb077bb7dd5d838267c490e5d9ac007bdee8c920955fdd3c0d32ab5f9ab5f4a,1704555748.533412,-10,27,100,100,1,500
6,1704555587.084411,29,19.714285714285715,fce295dc64edc45d247596c2ad0bc9749af29219f71b7dc891eff23d0960ffba5eb077bb7dd5d838267c490e5d9ac007bdee8c920955fdd3c0d32ab5f9ab5f4a,1704555748.533412,-10,27,100,100,1,500
7,1704555588.554349,32,21.25,fce295dc64edc45d247596c2ad0bc9749af29219f71b7dc891eff23d0960ffba5eb077bb7dd5d838267c490e5d9ac007bdee8c920955fdd3c0d32ab5f9ab5f4a,1704555748.533412,-10,27,100,100,1,500
8,1704555589.819412,26,21.77777777777778,fce295dc64edc45d247596c2ad0bc9749af29219f71b7dc891eff23d0960ffba5eb077bb7dd5d838267c490e5d9ac007bdee8c920955fdd3c0d32ab5f9ab5f4a,1704555748.533412,-10,27,100,100,1,500
9,1704555590.552046,14,21.0,fce295dc64edc45d247596c2ad0bc9749af29219f71b7dc891eff23d0960ffba5eb077bb7dd5d838267c490e5d9ac007bdee8c920955fdd3c0d32ab5f9ab5f4a,1704555748.533412,-10,27,100,100,1,500
