,ts,scores,mean_scores,game_hash,starting_timestamp,negative_reward,positive_reward,seed,how_many_seeds,how_many_games,number_of_layers,speed
0,1704566636.045702,0,0.0,89573e2995cae8e14fbf8bee3678b6e77a00b22d3792b924f78c008783b8c642d0f8bd3ce6cc48c76314368c95b37d6685c4b9ba90267c1bebe41401e72ad785,1704567364.792543,-10,27,1000,1000,1,512,1000
1,1704566636.422708,0,0.0,89573e2995cae8e14fbf8bee3678b6e77a00b22d3792b924f78c008783b8c642d0f8bd3ce6cc48c76314368c95b37d6685c4b9ba90267c1bebe41401e72ad785,1704567364.792543,-10,27,1000,1000,1,512,1000
2,1704566636.74595,0,0.0,89573e2995cae8e14fbf8bee3678b6e77a00b22d3792b924f78c008783b8c642d0f8bd3ce6cc48c76314368c95b37d6685c4b9ba90267c1bebe41401e72ad785,1704567364.792543,-10,27,1000,1000,1,512,1000
3,1704566637.049346,0,0.0,89573e2995cae8e14fbf8bee3678b6e77a00b22d3792b924f78c008783b8c642d0f8bd3ce6cc48c76314368c95b37d6685c4b9ba90267c1bebe41401e72ad785,1704567364.792543,-10,27,1000,1000,1,512,1000
4,1704566637.470969,1,0.2,89573e2995cae8e14fbf8bee3678b6e77a00b22d3792b924f78c008783b8c642d0f8bd3ce6cc48c76314368c95b37d6685c4b9ba90267c1bebe41401e72ad785,1704567364.792543,-10,27,1000,1000,1,512,1000
5,1704566637.85921,1,0.3333333333333333,89573e2995cae8e14fbf8bee3678b6e77a00b22d3792b924f78c008783b8c642d0f8bd3ce6cc48c76314368c95b37d6685c4b9ba90267c1bebe41401e72ad785,1704567364.792543,-10,27,1000,1000,1,512,1000
6,1704566638.147308,0,0.2857142857142857,89573e2995cae8e14fbf8bee3678b6e77a00b22d3792b924f78c008783b8c642d0f8bd3ce6cc48c76314368c95b37d6685c4b9ba90267c1bebe41401e72ad785,1704567364.792543,-10,27,1000,1000,1,512,1000
7,1704566638.520167,0,0.25,89573e2995cae8e14fbf8bee3678b6e77a00b22d3792b924f78c008783b8c642d0f8bd3ce6cc48c76314368c95b37d6685c4b9ba90267c1bebe41401e72ad785,1704567364.792543,-10,27,1000,1000,1,512,1000
8,1704566638.875517,0,0.2222222222222222,89573e2995cae8e14fbf8bee3678b6e77a00b22d3792b924f78c008783b8c642d0f8bd3ce6cc48c76314368c95b37d6685c4b9ba90267c1bebe41401e72ad785,1704567364.792543,-10,27,1000,1000,1,512,1000
9,1704566639.202949,1,0.3,89573e2995cae8e14fbf8bee3678b6e77a00b22d3792b924f78c008783b8c642d0f8bd3ce6cc48c76314368c95b37d6685c4b9ba90267c1bebe41401e72ad785,1704567364.792543,-10,27,1000,1000,1,512,1000
