,ts,scores,mean_scores,game_hash,starting_timestamp,negative_reward,positive_reward,seed,how_many_seeds,how_many_games,speed
0,1704619562.319001,3,3.0,615aed77209fe4bd0ce5cec9ad043c256c1fcddabfac347910cb8b7c67f7f3af1b5202a0a2e46b5180bfb74561d98892924d11e11754352fd6ad57ad1cfb4f2d,1704619672.033257,-10,27,5099,100,1,1000
1,1704619563.764836,1,2.0,615aed77209fe4bd0ce5cec9ad043c256c1fcddabfac347910cb8b7c67f7f3af1b5202a0a2e46b5180bfb74561d98892924d11e11754352fd6ad57ad1cfb4f2d,1704619672.033257,-10,27,5099,100,1,1000
2,1704619564.08881,4,2.6666666666666665,615aed77209fe4bd0ce5cec9ad043c256c1fcddabfac347910cb8b7c67f7f3af1b5202a0a2e46b5180bfb74561d98892924d11e11754352fd6ad57ad1cfb4f2d,1704619672.033257,-10,27,5099,100,1,1000
3,1704619564.68324,9,4.25,615aed77209fe4bd0ce5cec9ad043c256c1fcddabfac347910cb8b7c67f7f3af1b5202a0a2e46b5180bfb74561d98892924d11e11754352fd6ad57ad1cfb4f2d,1704619672.033257,-10,27,5099,100,1,1000
4,1704619565.329961,5,4.4,615aed77209fe4bd0ce5cec9ad043c256c1fcddabfac347910cb8b7c67f7f3af1b5202a0a2e46b5180bfb74561d98892924d11e11754352fd6ad57ad1cfb4f2d,1704619672.033257,-10,27,5099,100,1,1000
5,1704619566.711614,2,4.0,615aed77209fe4bd0ce5cec9ad043c256c1fcddabfac347910cb8b7c67f7f3af1b5202a0a2e46b5180bfb74561d98892924d11e11754352fd6ad57ad1cfb4f2d,1704619672.033257,-10,27,5099,100,1,1000
6,1704619568.139624,0,3.4285714285714284,615aed77209fe4bd0ce5cec9ad043c256c1fcddabfac347910cb8b7c67f7f3af1b5202a0a2e46b5180bfb74561d98892924d11e11754352fd6ad57ad1cfb4f2d,1704619672.033257,-10,27,5099,100,1,1000
7,1704619569.588849,0,3.0,615aed77209fe4bd0ce5cec9ad043c256c1fcddabfac347910cb8b7c67f7f3af1b5202a0a2e46b5180bfb74561d98892924d11e11754352fd6ad57ad1cfb4f2d,1704619672.033257,-10,27,5099,100,1,1000
8,1704619571.017879,1,2.7777777777777777,615aed77209fe4bd0ce5cec9ad043c256c1fcddabfac347910cb8b7c67f7f3af1b5202a0a2e46b5180bfb74561d98892924d11e11754352fd6ad57ad1cfb4f2d,1704619672.033257,-10,27,5099,100,1,1000
9,1704619572.511226,1,2.6,615aed77209fe4bd0ce5cec9ad043c256c1fcddabfac347910cb8b7c67f7f3af1b5202a0a2e46b5180bfb74561d98892924d11e11754352fd6ad57ad1cfb4f2d,1704619672.033257,-10,27,5099,100,1,1000
10,1704619573.953765,3,2.6363636363636362,615aed77209fe4bd0ce5cec9ad043c256c1fcddabfac347910cb8b7c67f7f3af1b5202a0a2e46b5180bfb74561d98892924d11e11754352fd6ad57ad1cfb4f2d,1704619672.033257,-10,27,5099,100,1,1000
11,1704619575.329817,0,2.4166666666666665,615aed77209fe4bd0ce5cec9ad043c256c1fcddabfac347910cb8b7c67f7f3af1b5202a0a2e46b5180bfb74561d98892924d11e11754352fd6ad57ad1cfb4f2d,1704619672.033257,-10,27,5099,100,1,1000
12,1704619576.847906,4,2.5384615384615383,615aed77209fe4bd0ce5cec9ad043c256c1fcddabfac347910cb8b7c67f7f3af1b5202a0a2e46b5180bfb74561d98892924d11e11754352fd6ad57ad1cfb4f2d,1704619672.033257,-10,27,5099,100,1,1000
13,1704619578.32317,1,2.4285714285714284,615aed77209fe4bd0ce5cec9ad043c256c1fcddabfac347910cb8b7c67f7f3af1b5202a0a2e46b5180bfb74561d98892924d11e11754352fd6ad57ad1cfb4f2d,1704619672.033257,-10,27,5099,100,1,1000
14,1704619578.77289,3,2.466666666666667,615aed77209fe4bd0ce5cec9ad043c256c1fcddabfac347910cb8b7c67f7f3af1b5202a0a2e46b5180bfb74561d98892924d11e11754352fd6ad57ad1cfb4f2d,1704619672.033257,-10,27,5099,100,1,1000
15,1704619579.3271,3,2.5,615aed77209fe4bd0ce5cec9ad043c256c1fcddabfac347910cb8b7c67f7f3af1b5202a0a2e46b5180bfb74561d98892924d11e11754352fd6ad57ad1cfb4f2d,1704619672.033257,-10,27,5099,100,1,1000
16,1704619579.849458,5,2.6470588235294117,615aed77209fe4bd0ce5cec9ad043c256c1fcddabfac347910cb8b7c67f7f3af1b5202a0a2e46b5180bfb74561d98892924d11e11754352fd6ad57ad1cfb4f2d,1704619672.033257,-10,27,5099,100,1,1000
17,1704619581.238817,0,2.5,615aed77209fe4bd0ce5cec9ad043c256c1fcddabfac347910cb8b7c67f7f3af1b5202a0a2e46b5180bfb74561d98892924d11e11754352fd6ad57ad1cfb4f2d,1704619672.033257,-10,27,5099,100,1,1000
18,1704619582.097887,7,2.736842105263158,615aed77209fe4bd0ce5cec9ad043c256c1fcddabfac347910cb8b7c67f7f3af1b5202a0a2e46b5180bfb74561d98892924d11e11754352fd6ad57ad1cfb4f2d,1704619672.033257,-10,27,5099,100,1,1000
