,ts,scores,mean_scores,game_hash,starting_timestamp,negative_reward,positive_reward,seed,how_many_seeds,how_many_games,speed
0,1704620102.925109,7,7.0,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
1,1704620103.647018,20,13.5,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
2,1704620104.623827,34,20.333333333333332,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
3,1704620105.141914,12,18.25,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
4,1704620106.592747,11,16.8,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
5,1704620107.783688,43,21.166666666666668,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
6,1704620108.565039,25,21.714285714285715,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
7,1704620110.092521,44,24.5,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
8,1704620111.309133,41,26.333333333333332,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
9,1704620111.909568,16,25.3,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
10,1704620112.948534,36,26.272727272727273,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
11,1704620113.806394,21,25.833333333333332,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
12,1704620114.284544,7,24.384615384615383,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
13,1704620114.858033,20,24.071428571428573,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
14,1704620115.56172,17,23.6,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
15,1704620116.544626,33,24.1875,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
16,1704620118.007914,49,25.647058823529413,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
17,1704620119.133801,41,26.5,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
18,1704620119.895147,23,26.31578947368421,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
19,1704620120.70875,29,26.45,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
20,1704620121.682358,31,26.666666666666668,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
21,1704620122.487814,27,26.681818181818183,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
22,1704620123.24161,24,26.565217391304348,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
23,1704620124.660171,6,25.708333333333332,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
24,1704620126.0907,12,25.16,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
25,1704620126.669553,20,24.96153846153846,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
26,1704620127.615157,23,24.88888888888889,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
27,1704620128.638691,32,25.142857142857142,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
28,1704620129.466591,23,25.06896551724138,05b7f859aa880b4f21c5b58fbd46e5bcecf7558a9b2bcaa7e166d0d1ab96fb328ea991a97f2efcbb439db8f959b833f08e866c55531a5b56645b198f11dbc658,1704620195.854904,-10,27,5099,100,1,1000
