,ts,scores,mean_scores,agent_hash,agent_timestamp,batch_size,learning_rate,gamma
0,1704650736.07017,0,0.0,73c6ec4fc5d81e621d71f5af9ce5120610dbbe2deff271306f03eda5ec620d0f563cbaee54db18bc478706a5cc4fa9b5fe7fa69e2a82fafa932fb5bf9c8f8667,1704650734.666563,1000,0.001,0.9
1,1704650736.972119,0,0.0,73c6ec4fc5d81e621d71f5af9ce5120610dbbe2deff271306f03eda5ec620d0f563cbaee54db18bc478706a5cc4fa9b5fe7fa69e2a82fafa932fb5bf9c8f8667,1704650734.666563,1000,0.001,0.9
2,1704650737.876333,0,0.0,73c6ec4fc5d81e621d71f5af9ce5120610dbbe2deff271306f03eda5ec620d0f563cbaee54db18bc478706a5cc4fa9b5fe7fa69e2a82fafa932fb5bf9c8f8667,1704650734.666563,1000,0.001,0.9
3,1704650738.645469,0,0.0,73c6ec4fc5d81e621d71f5af9ce5120610dbbe2deff271306f03eda5ec620d0f563cbaee54db18bc478706a5cc4fa9b5fe7fa69e2a82fafa932fb5bf9c8f8667,1704650734.666563,1000,0.001,0.9
4,1704650739.54027,0,0.0,73c6ec4fc5d81e621d71f5af9ce5120610dbbe2deff271306f03eda5ec620d0f563cbaee54db18bc478706a5cc4fa9b5fe7fa69e2a82fafa932fb5bf9c8f8667,1704650734.666563,1000,0.001,0.9
5,1704650740.144174,0,0.0,73c6ec4fc5d81e621d71f5af9ce5120610dbbe2deff271306f03eda5ec620d0f563cbaee54db18bc478706a5cc4fa9b5fe7fa69e2a82fafa932fb5bf9c8f8667,1704650734.666563,1000,0.001,0.9
6,1704650741.248395,0,0.0,73c6ec4fc5d81e621d71f5af9ce5120610dbbe2deff271306f03eda5ec620d0f563cbaee54db18bc478706a5cc4fa9b5fe7fa69e2a82fafa932fb5bf9c8f8667,1704650734.666563,1000,0.001,0.9
7,1704650744.123282,0,0.0,73c6ec4fc5d81e621d71f5af9ce5120610dbbe2deff271306f03eda5ec620d0f563cbaee54db18bc478706a5cc4fa9b5fe7fa69e2a82fafa932fb5bf9c8f8667,1704650734.666563,1000,0.001,0.9
8,1704650745.373362,0,0.0,73c6ec4fc5d81e621d71f5af9ce5120610dbbe2deff271306f03eda5ec620d0f563cbaee54db18bc478706a5cc4fa9b5fe7fa69e2a82fafa932fb5bf9c8f8667,1704650734.666563,1000,0.001,0.9
9,1704650746.571237,1,0.1,73c6ec4fc5d81e621d71f5af9ce5120610dbbe2deff271306f03eda5ec620d0f563cbaee54db18bc478706a5cc4fa9b5fe7fa69e2a82fafa932fb5bf9c8f8667,1704650734.666563,1000,0.001,0.9
10,1704650747.23933,0,0.09090909090909091,73c6ec4fc5d81e621d71f5af9ce5120610dbbe2deff271306f03eda5ec620d0f563cbaee54db18bc478706a5cc4fa9b5fe7fa69e2a82fafa932fb5bf9c8f8667,1704650734.666563,1000,0.001,0.9
11,1704650747.935532,0,0.08333333333333333,73c6ec4fc5d81e621d71f5af9ce5120610dbbe2deff271306f03eda5ec620d0f563cbaee54db18bc478706a5cc4fa9b5fe7fa69e2a82fafa932fb5bf9c8f8667,1704650734.666563,1000,0.001,0.9
12,1704650748.623666,0,0.07692307692307693,73c6ec4fc5d81e621d71f5af9ce5120610dbbe2deff271306f03eda5ec620d0f563cbaee54db18bc478706a5cc4fa9b5fe7fa69e2a82fafa932fb5bf9c8f8667,1704650734.666563,1000,0.001,0.9
13,1704650751.054594,0,0.07142857142857142,73c6ec4fc5d81e621d71f5af9ce5120610dbbe2deff271306f03eda5ec620d0f563cbaee54db18bc478706a5cc4fa9b5fe7fa69e2a82fafa932fb5bf9c8f8667,1704650734.666563,1000,0.001,0.9
14,1704650752.348879,0,0.06666666666666667,73c6ec4fc5d81e621d71f5af9ce5120610dbbe2deff271306f03eda5ec620d0f563cbaee54db18bc478706a5cc4fa9b5fe7fa69e2a82fafa932fb5bf9c8f8667,1704650734.666563,1000,0.001,0.9
15,1704650753.227206,0,0.0625,73c6ec4fc5d81e621d71f5af9ce5120610dbbe2deff271306f03eda5ec620d0f563cbaee54db18bc478706a5cc4fa9b5fe7fa69e2a82fafa932fb5bf9c8f8667,1704650734.666563,1000,0.001,0.9
16,1704650755.182002,0,0.058823529411764705,73c6ec4fc5d81e621d71f5af9ce5120610dbbe2deff271306f03eda5ec620d0f563cbaee54db18bc478706a5cc4fa9b5fe7fa69e2a82fafa932fb5bf9c8f8667,1704650734.666563,1000,0.001,0.9
17,1704650756.453526,0,0.05555555555555555,73c6ec4fc5d81e621d71f5af9ce5120610dbbe2deff271306f03eda5ec620d0f563cbaee54db18bc478706a5cc4fa9b5fe7fa69e2a82fafa932fb5bf9c8f8667,1704650734.666563,1000,0.001,0.9
18,1704650758.606174,1,0.10526315789473684,73c6ec4fc5d81e621d71f5af9ce5120610dbbe2deff271306f03eda5ec620d0f563cbaee54db18bc478706a5cc4fa9b5fe7fa69e2a82fafa932fb5bf9c8f8667,1704650734.666563,1000,0.001,0.9
19,1704650759.4438,0,0.1,73c6ec4fc5d81e621d71f5af9ce5120610dbbe2deff271306f03eda5ec620d0f563cbaee54db18bc478706a5cc4fa9b5fe7fa69e2a82fafa932fb5bf9c8f8667,1704650734.666563,1000,0.001,0.9
20,1704650760.30524,1,0.14285714285714285,73c6ec4fc5d81e621d71f5af9ce5120610dbbe2deff271306f03eda5ec620d0f563cbaee54db18bc478706a5cc4fa9b5fe7fa69e2a82fafa932fb5bf9c8f8667,1704650734.666563,1000,0.001,0.9
